generation,environment,reward,intrinsic_fitness,environment_match,maintenance,memory_slots,memory_retrieved,retrieval_similarity,retrieval_age,witness_recoveries_total,reward_baseline,policy_norm,policy_change_norm,recall_step_norm,exploration_step_norm,chosen_probe,probe_count,base_probe_reward,explore_probe_reward,spectral_novelty,spectral_mismatch,mean_resource_after_forcing,policy_formation_drive,effective_formation_drive,policy_neighbor_scale,effective_neighbor_scale,policy_resource_blend,effective_resource_blend,policy_topology_blend,effective_topology_blend,policy_export_cost,effective_export_cost
39,learning_poor,0.4147087126305927,0.6648050296142665,0.2336044830906911,0.4949018115635768,0,False,0.0,-1,0,0.4733765846257049,0.0,0.0,0.0,0.06642277714358198,fixed_control,1,0.4147087126305927,,True,8.797954798326843e-05,0.4849469937945323,0.0,1.45,0.0,0.32,0.0,0.28,0.0,0.2,0.0,0.1
40,learning_rich,0.6416258133678132,0.7222800734893038,0.5832210043143201,0.5648194572240912,0,False,0.0,-1,0,0.49356649207475795,0.0,0.0,0.0,0.059629112866083585,fixed_control,1,0.6416258133678132,,True,0.0001162884634978696,0.537802129187527,0.0,1.45,0.0,0.32,0.0,0.28,0.0,0.2,0.0,0.1
41,learning_rich,0.6462709184429563,0.7333398474777395,0.5832210043143201,0.5915185088205336,0,False,0.0,-1,0,0.5118910232389418,0.0,0.0,0.0,0.04729644367090915,fixed_control,1,0.6462709184429563,,True,0.0001333942168372749,0.5750683382047939,0.0,1.45,0.0,0.32,0.0,0.28,0.0,0.2,0.0,0.1
42,learning_rich,0.6504590142444335,0.7433115041479236,0.5832210043143201,0.6108440637383674,0,False,0.0,-1,0,0.5285191821596008,0.0,0.0,0.0,0.0847037622964268,fixed_control,1,0.6504590142444335,,True,0.00015361027625809427,0.6018788662985539,0.0,1.45,0.0,0.32,0.0,0.28,0.0,0.2,0.0,0.1
43,learning_rich,0.6535281772818862,0.7506190351894773,0.5832210043143201,0.624869861425483,0,False,0.0,-1,0,0.543520261574275,0.0,0.0,0.0,0.05944138743390616,fixed_control,1,0.6535281772818862,,True,0.00017194595161584738,0.6211613232043555,0.0,1.45,0.0,0.32,0.0,0.28,0.0,0.2,0.0,0.1
44,learning_rich,0.655789912333313,0.7560041186452554,0.5832210043143201,0.6351037258963393,0,False,0.0,-1,0,0.5569926196653596,0.0,0.0,0.0,0.08513468185789365,fixed_control,1,0.655789912333313,,True,0.00018821467934581368,0.6350590593119104,0.0,1.45,0.0,0.32,0.0,0.28,0.0,0.2,0.0,0.1
45,learning_rich,0.657444205018177,0.7599429107520745,0.5832210043143201,0.6425571886562218,0,False,0.0,-1,0,0.5690468099076977,0.0,0.0,0.0,0.08444195053096569,fixed_control,1,0.657444205018177,,True,0.00020229201718577965,0.6451215376072309,0.0,1.45,0.0,0.32,0.0,0.28,0.0,0.2,0.0,0.1
46,learning_rich,0.6586615221112591,0.7628412847832224,0.5832210043143201,0.6479470553037149,0,False,0.0,-1,0,0.5798005753721251,0.0,0.0,0.0,0.08532992632824893,fixed_control,1,0.6586615221112591,,True,0.00021529570953368244,0.6523888012706294,0.0,1.45,0.0,0.32,0.0,0.28,0.0,0.2,0.0,0.1
47,learning_rich,0.6595349082611657,0.7649207756163333,0.5832210043143201,0.6517741276586664,0,False,0.0,-1,0,0.5893686953188101,0.0,0.0,0.0,0.10444303594479479,fixed_control,1,0.6595349082611657,,True,0.00022691002602584975,0.6575930077108165,0.0,1.45,0.0,0.32,0.0,0.28,0.0,0.2,0.0,0.1
48,learning_rich,0.6601414727055016,0.7663649766742759,0.5832210043143201,0.6544029079395066,0,False,0.0,-1,0,0.5978614286052131,0.0,0.0,0.0,0.0814768461303253,fixed_control,1,0.6601414727055016,,True,0.00023729035203876403,0.6612442856894082,0.0,1.45,0.0,0.32,0.0,0.28,0.0,0.2,0.0,0.1
49,learning_rich,0.6605414898995152,0.7673173985647844,0.5832210043143201,0.6561092981769641,0,False,0.0,-1,0,0.6053830359605293,0.0,0.0,0.0,0.07825556125401115,fixed_control,1,0.6605414898995152,,True,0.000247001492094902,0.6637118532426347,0.0,1.45,0.0,0.32,0.0,0.28,0.0,0.2,0.0,0.1
50,learning_poor,0.448851628890929,0.7460976873769719,0.2336044830906911,0.6145764662486801,0,False,0.0,-1,0,0.5865992671121774,0.0,0.0,0.0,0.07821840976972577,fixed_control,1,0.448851628890929,,True,0.00018272115556583712,0.6018301894260928,0.0,1.45,0.0,0.32,0.0,0.28,0.0,0.2,0.0,0.1
