generation,environment,identity_closure,historical_present_distance,identity_step_distance,raw_perspective_step_distance,self_index_similarity,ablated_self_index_similarity,transverse_adaptation
0,perspective_A,False,,0.0,,1.0,1.0,0.0
1,perspective_A,True,0.0071366746167255,0.00024978361158539214,0.0071366746167255,0.9999998033347237,0.999842160048059,0.006191734183655991
2,perspective_A,True,0.014005504502419762,0.0004901926575846934,0.007119256571518991,0.9999982805422264,0.9993838873728944,0.01212030529425419
3,perspective_A,True,0.020582818651048617,0.0007203986527867042,0.00706838845279033,0.9999933279115965,0.9986501109028527,0.017772950109697712
4,perspective_A,True,0.026889375323939806,0.0009411281363379009,0.007027828725611323,0.9999820277116308,0.997662245584584,0.02316828736756492
5,perspective_A,True,0.03288904560278095,0.0011511165960973286,0.006942018317423401,0.9999608389980661,0.9964514633869052,0.028267739459865285
6,perspective_A,True,0.03859794658197938,0.0013509281303692767,0.006861281039274627,0.999925742949622,0.9950395598879326,0.033089895051374746
7,perspective_A,True,0.04402082614421486,0.0015407289150475107,0.0067747481304425055,0.999872386107646,0.993447738364,0.03764289120148661
8,perspective_B,True,0.048781766922961114,0.0017073618423036362,0.006305759843548475,0.9997969802189715,0.991823246369541,0.041554095997945587
9,perspective_B,True,0.05367584000722223,0.0018786544002527786,0.006604328818084092,0.9996943194425036,0.9899243811645327,0.0456432463616752
10,perspective_B,True,0.058281490548607144,0.0020398521692012502,0.006486966640674945,0.999559772820327,0.9879004141243599,0.049470223503349356
11,perspective_B,True,0.0625707864885151,0.00218997752709804,0.006332167687558073,0.9993889809745431,0.9857877038912668,0.05299803894647353
12,perspective_B,True,0.06658314588001966,0.002330410105800684,0.0062057101259875794,0.9991777452953284,0.9835906469073729,0.05626760921812383
13,perspective_B,True,0.07040115381272727,0.002464040383445454,0.0061519142878592925,0.998921848032282,0.9812923286665417,0.05935531288638909
14,perspective_B,True,0.07393465865087231,0.0025877130527805275,0.006000367359718258,0.9986178276752488,0.97895632787658,0.06216058087837236
15,perspective_B,True,0.07727106225126619,0.0027044871787943146,0.0059266220253449365,0.9982622259719806,0.9765550686379714,0.0647747714866164
16,perspective_C,True,0.0797099409951326,0.00278984793482964,0.005150498740783347,0.9978562740415039,0.97445826352944,0.06652713363428098
17,perspective_C,True,0.08265984965830189,0.0028930947380405737,0.005755215521247488,0.9973936693176992,0.9719727665148887,0.06878736088672868
18,perspective_C,True,0.0854112262230503,0.002989392917806754,0.005658292480112619,0.9968722133790973,0.9694620185113919,0.07085096718808734
19,perspective_C,True,0.08802159445534698,0.0030807558059371505,0.005610706755687012,0.9962897188801924,0.96690536841048,0.07277461917263296
20,perspective_C,True,0.09044912247120972,0.003165719286492347,0.005518181909426855,0.9956447223731699,0.9643351943694757,0.07451874404008797
21,perspective_C,True,0.09272651073054254,0.0032454278755689914,0.005451390023831943,0.9949359197179517,0.9617417183816733,0.07611690262343158
22,perspective_C,True,0.09484322102667742,0.003319512735933712,0.0053692813794783845,0.9941625572644791,0.9591430365740802,0.07755589838244539
23,perspective_C,True,0.09681558850279467,0.003388545597597812,0.00529795136944325,0.9933241413345875,0.956537100190961,0.07885361717369986
24,perspective_A,True,0.09875496420693695,0.0034564237472428016,0.005329963013837616,0.9924196790075948,0.9538899748085649,0.0800849982015459
25,perspective_A,True,0.10060686900039262,0.003521240415013743,0.005309886408882102,0.9914489430041483,0.9512322188513532,0.08120833053483298
26,perspective_A,True,0.10234324695793999,0.003582013643527891,0.0052589800345563134,0.990412188688171,0.9485744019864735,0.08221281315106922
27,perspective_A,True,0.10394541160091621,0.0036380894060320705,0.005186089556414479,0.989310336705713,0.9459396386252814,0.08307724825037648
28,perspective_A,True,0.10542602079101115,0.0036899107276853974,0.0051207734368753,0.9881444508523174,0.9433214602506296,0.08382081727167776
