generation,environment,reward_memory,reward_control,reward_gain,match_memory,match_control,memory_retrieved,retrieval_age,witness_recoveries_total
0,learning_rich,0.6257002784863555,0.6088858354802451,0.016814443006110347,0.6104657064859154,0.5832210043143201,False,-1,0
1,learning_rich,0.6448825027709142,0.6277618664229745,0.0171206363479397,0.6104657064859154,0.5832210043143201,True,1,0
2,learning_rich,0.6563649610949864,0.6392082737229969,0.0171566873719895,0.6104657064859154,0.5832210043143201,True,1,0
3,learning_rich,0.6633047376895125,0.6462496615795208,0.017055076109991685,0.6104657064859154,0.5832210043143201,True,1,0
4,learning_rich,0.668646411592378,0.6522389534314779,0.016407458160900168,0.6104657064859154,0.5832210043143201,True,1,0
5,learning_rich,0.6731798576876671,0.6555240132458606,0.017655844441806456,0.6139528331551362,0.5832210043143201,True,1,0
6,learning_rich,0.672875469562983,0.6573467839090373,0.015528685653945717,0.6118046224348892,0.5832210043143201,True,1,0
7,learning_rich,0.6723343114480722,0.6576987936731435,0.014635517774928664,0.6118046224348892,0.5832210043143201,True,2,0
8,learning_rich,0.6714357764875536,0.6569480141299078,0.014487762357645817,0.6118046224348892,0.5832210043143201,True,3,0
9,learning_rich,0.6757334753210058,0.6558847076281236,0.01984876769288224,0.6200271240716269,0.5832210043143201,True,4,0
10,learning_poor,0.43987151515177864,0.4426508825045119,-0.002779367352733264,0.22837240938716177,0.2336044830906911,False,-1,0
11,learning_poor,0.43511754685502524,0.4309698681172983,0.004147678737726923,0.22837240938716177,0.2336044830906911,True,1,0
12,learning_poor,0.43263137130069934,0.43332392242203766,-0.000692551121338314,0.22837240938716177,0.2336044830906911,True,2,0
13,learning_poor,0.43159699572880184,0.42908457065715966,0.002512425071642177,0.23363473574701274,0.2336044830906911,True,3,0
14,learning_poor,0.42533117432632783,0.4258552943714715,-0.0005241200451436834,0.22837240938716177,0.2336044830906911,True,4,0
15,learning_poor,0.42233045277472614,0.42321767583893366,-0.0008872230642075207,0.22837240938716177,0.2336044830906911,True,5,0
16,learning_poor,0.42071821192276565,0.4214712338497064,-0.0007530219269407668,0.22837240938716177,0.2336044830906911,True,6,0
17,learning_poor,0.4190287892206177,0.42011686582063346,-0.0010880766000157527,0.22837240938716177,0.2336044830906911,True,7,0
18,learning_poor,0.4188565320303179,0.418561420899765,0.0002951111305529164,0.22837240938716177,0.2336044830906911,True,8,0
19,learning_poor,0.42111125056334114,0.41791264247937066,0.003198608083970489,0.22837240938716177,0.2336044830906911,True,9,0
20,learning_rich,0.6532907575120115,0.6268060778294964,0.02648467968251511,0.6149388435852662,0.5832210043143201,True,11,1
21,learning_rich,0.6593320334253314,0.6311501104369086,0.028181922988422814,0.6149388435852662,0.5832210043143201,True,12,1
22,learning_rich,0.6633477741909285,0.6338878616102184,0.029459912580710124,0.6149388435852662,0.5832210043143201,True,13,1
23,learning_rich,0.6692928320441898,0.6363358050888495,0.03295702695534031,0.6208412972441818,0.5832210043143201,True,14,1
24,learning_rich,0.6683657376667824,0.6389615306910339,0.029404206975748526,0.6149388435852662,0.5832210043143201,True,15,1
25,learning_rich,0.6702504795062003,0.6429861984061328,0.02726428110006751,0.6149388435852662,0.5832210043143201,True,16,1
26,learning_rich,0.6717597184479038,0.6472583672372968,0.024501351210607036,0.6149388435852662,0.5832210043143201,True,17,1
27,learning_rich,0.6725129098996343,0.6503689727720467,0.022143937127587554,0.6149388435852662,0.5832210043143201,True,18,1
28,learning_rich,0.673596324236143,0.6523505961615754,0.021245728074567594,0.6149388435852662,0.5832210043143201,True,19,1
29,learning_rich,0.6745996451380485,0.6527601266122364,0.02183951852581212,0.6149388435852662,0.5832210043143201,True,20,1
30,learning_poor,0.4427102648051534,0.4417971469953006,0.0009131178098528148,0.22837240938716177,0.2336044830906911,True,20,2
31,learning_poor,0.427609340685147,0.4366981916992978,-0.0090888510141508,0.22837240938716177,0.2336044830906911,True,1,2
32,learning_poor,0.4201358380594415,0.43324416578460356,-0.013108327725162072,0.22837240938716177,0.2336044830906911,True,2,2
33,learning_poor,0.4191301048680832,0.431589162359287,-0.012459057491203795,0.22837240938716177,0.2336044830906911,True,3,2
34,learning_poor,0.4187703065049538,0.43044938181196546,-0.011679075307011677,0.22837240938716177,0.2336044830906911,True,4,2
35,learning_poor,0.41749932564856096,0.43015118051719514,-0.012651854868634183,0.22837240938716177,0.2336044830906911,True,5,2
36,learning_poor,0.4176809818336213,0.42477623701290146,-0.007095255179280169,0.22837240938716177,0.2336044830906911,True,6,2
37,learning_poor,0.417801658049078,0.4195461810362515,-0.0017445229871735357,0.22837240938716177,0.2336044830906911,True,7,2
38,learning_poor,0.41803997623685707,0.4143302775223081,0.003709698714548959,0.22837240938716177,0.2336044830906911,True,8,2
39,learning_poor,0.4181631575583013,0.4147087126305927,0.0034544449277085776,0.22837240938716177,0.2336044830906911,True,9,2
40,learning_rich,0.6663765563431261,0.6416258133678132,0.024750742975312878,0.6149388435852662,0.5832210043143201,True,31,3
41,learning_rich,0.671152070990078,0.6462709184429563,0.024881152547121754,0.6149388435852662,0.5832210043143201,True,32,3
42,learning_rich,0.6742773525502985,0.6504590142444335,0.023818338305864994,0.6149388435852662,0.5832210043143201,True,33,3
43,learning_rich,0.6762723124860224,0.6535281772818862,0.022744135204136207,0.6149388435852662,0.5832210043143201,True,34,3
44,learning_rich,0.6774993741960711,0.655789912333313,0.021709461862758128,0.6149388435852662,0.5832210043143201,True,35,3
45,learning_rich,0.6781990853548322,0.657444205018177,0.02075488033665518,0.6149388435852662,0.5832210043143201,True,36,3
46,learning_rich,0.6785680606637646,0.6586615221112591,0.01990653855250557,0.6149388435852662,0.5832210043143201,True,1,3
47,learning_rich,0.6839877464416297,0.6595349082611657,0.024452838180464065,0.6239933051217317,0.5832210043143201,True,2,3
48,learning_rich,0.6807683093570043,0.6601414727055016,0.020626836651502667,0.6184005738657052,0.5832210043143201,True,1,3
49,learning_rich,0.6807011704356609,0.6605414898995152,0.020159680536145697,0.6184005738657052,0.5832210043143201,True,2,3
50,learning_poor,0.44564588606585176,0.448851628890929,-0.00320574282507724,0.22837240938716177,0.2336044830906911,True,20,4
51,learning_poor,0.4429909595663236,0.4432682574160115,-0.0002772978496878853,0.23300078549390624,0.2336044830906911,True,1,4
52,learning_poor,0.43700545345243785,0.4397081782293174,-0.0027027247768795504,0.22837240938716177,0.2336044830906911,True,2,4
53,learning_poor,0.4349685472633753,0.4374323453349619,-0.002463798071586587,0.22837240938716177,0.2336044830906911,True,3,4
54,learning_poor,0.43334297737701793,0.4355972675464026,-0.002254290169384665,0.22837240938716177,0.2336044830906911,True,4,4
55,learning_poor,0.43260170164103284,0.43464661003251637,-0.002044908391483524,0.22837240938716177,0.2336044830906911,True,5,4
56,learning_poor,0.43210625090260724,0.4339464431994129,-0.0018401922968056539,0.22837240938716177,0.2336044830906911,True,6,4
57,learning_poor,0.4319724580060407,0.43358034600913165,-0.0016078880030909182,0.22837240938716177,0.2336044830906911,True,7,4
58,learning_poor,0.4319435775175932,0.4333209375787307,-0.0013773600611374781,0.22837240938716177,0.2336044830906911,True,8,4
59,learning_poor,0.4315100444515052,0.4326816309858904,-0.001171586534385205,0.22837240938716177,0.2336044830906911,True,9,4
60,learning_poor,0.4316111076555419,0.43258005599036664,-0.0009689483348247485,0.22837240938716177,0.2336044830906911,True,10,4
