generation,success,terminal_reason,persistent_rank,support_rank,lambda_keep,lambda_up,omega_keep,omega_up,formation_eigenvalue,formation_gap,spectral_novelty,spectral_mismatch,commutator_norm,second_moment_loss,crossfed_gain,neutral_partition_residual,reciprocal_balance_residual,PY_commutator_norm,schur_stratum_compatible
0,True,,3,3,0.31626577367408215,0.09233162280374413,0.22597212708562808,0.7740278729143719,-2.000000000000001,3.275000000000003,False,6.779844053636331e-16,2.9843117941164174e-16,-5.329070518200751e-15,0.2562000178387151,1.0274484662343186e-16,0.0,3.304632542645913e-15,True
1,True,,3,3,1.676234124090838,0.06253562130533658,0.03596544135352895,0.9640345586464711,-2.000000000000005,3.2750000000000092,False,1.523487338239077e-15,1.9045678687353366e-16,-2.3092638912203256e-14,0.22478243777495346,3.2291392333568066e-17,0.0,4.515684198239856e-16,True
2,True,,3,3,1.9038061137122273,0.004860402376323457,0.002546491142037703,0.9974535088579622,-2.000000000000006,3.2750000000000097,False,7.570732163293447e-16,2.0383035416993697e-16,-1.4210854715202004e-14,0.0679326887622902,4.840175789297457e-16,0.0,6.775128042842471e-17,True
3,True,,3,3,1.9908126976193081,4.239802425174956e-05,2.129638884543933e-05,0.9999787036111546,-2.0000000000000053,3.2750000000000083,False,6.94523040733475e-16,5.308204350188534e-18,1.7763568394002505e-15,0.00649633463886274,3.3306728899345224e-16,6.776263578034403e-21,9.322272531982172e-18,True
