environment,export_cost_mean,export_cost_std,export_cost_target,fission_threshold_mean,fission_threshold_std,formation_drive_mean,formation_drive_std,generation,neighbor_scale_mean,neighbor_scale_std,neighbor_scale_target,node_birth_threshold_mean,node_birth_threshold_std,resource_blend_mean,resource_blend_std,resource_blend_target,topology_blend_mean,topology_blend_std,topology_blend_target
season_rich,0.09053664473810676,0.021778668725616127,0.115,0.21747050674037527,0.012968659284998983,1.4705591628649166,0.08671621114505729,0,0.3093150679392668,0.03360364695065471,0.37,0.8988709523021166,0.04244431453899076,0.28563645406249016,0.04103470935479216,0.23,0.2096791055468928,0.055436831768446056,0.15
season_rich,0.09059193884568273,0.018775081842684456,0.115,0.2183349801979655,0.014334461067429055,1.4578178512442452,0.0869322776523787,1,0.31294419830766784,0.030149739795380447,0.37,0.908775490083401,0.04124602851032869,0.28961108349085046,0.04497604500136133,0.23,0.1928804659273819,0.04343759126275026,0.15
season_rich,0.09059193884568273,0.018775081842684456,0.115,0.2183349801979655,0.014334461067429055,1.4578178512442452,0.0869322776523787,2,0.31294419830766784,0.030149739795380447,0.37,0.908775490083401,0.04124602851032869,0.28961108349085046,0.04497604500136133,0.23,0.1928804659273819,0.04343759126275026,0.15
season_rich,0.09059193884568273,0.018775081842684456,0.115,0.2183349801979655,0.014334461067429055,1.4578178512442452,0.0869322776523787,3,0.31294419830766784,0.030149739795380447,0.37,0.908775490083401,0.04124602851032869,0.28961108349085046,0.04497604500136133,0.23,0.1928804659273819,0.04343759126275026,0.15
season_rich,0.09059193884568273,0.018775081842684456,0.115,0.2183349801979655,0.014334461067429055,1.4578178512442452,0.0869322776523787,4,0.31294419830766784,0.030149739795380447,0.37,0.908775490083401,0.04124602851032869,0.28961108349085046,0.04497604500136133,0.23,0.1928804659273819,0.04343759126275026,0.15
season_rich,0.09059193884568273,0.018775081842684456,0.115,0.2183349801979655,0.014334461067429055,1.4578178512442452,0.0869322776523787,5,0.31294419830766784,0.030149739795380447,0.37,0.908775490083401,0.04124602851032869,0.28961108349085046,0.04497604500136133,0.23,0.1928804659273819,0.04343759126275026,0.15
season_poor,0.10049167864006174,0.009267429351797455,0.065,0.22607963390581992,0.010226113538456849,1.476889904083397,0.05046213326086454,6,0.30292128102314925,0.015192064724966318,0.26,0.899376362446227,0.032841880206890835,0.310925069156504,0.031814208503925676,0.4,0.21264518496625925,0.0340346593459499,0.29
season_poor,0.10049167864006174,0.009267429351797455,0.065,0.22607963390581992,0.010226113538456849,1.476889904083397,0.05046213326086454,7,0.30292128102314925,0.015192064724966318,0.26,0.899376362446227,0.032841880206890835,0.310925069156504,0.031814208503925676,0.4,0.21264518496625925,0.0340346593459499,0.29
season_poor,0.10049167864006174,0.009267429351797455,0.065,0.22607963390581992,0.010226113538456849,1.476889904083397,0.05046213326086454,8,0.30292128102314925,0.015192064724966318,0.26,0.899376362446227,0.032841880206890835,0.310925069156504,0.031814208503925676,0.4,0.21264518496625925,0.0340346593459499,0.29
season_poor,0.10049167864006174,0.009267429351797455,0.065,0.22607963390581992,0.010226113538456849,1.476889904083397,0.05046213326086454,9,0.30292128102314925,0.015192064724966318,0.26,0.899376362446227,0.032841880206890835,0.310925069156504,0.031814208503925676,0.4,0.21264518496625925,0.0340346593459499,0.29
season_poor,0.10049167864006174,0.009267429351797455,0.065,0.22607963390581992,0.010226113538456849,1.476889904083397,0.05046213326086454,10,0.30292128102314925,0.015192064724966318,0.26,0.899376362446227,0.032841880206890835,0.310925069156504,0.031814208503925676,0.4,0.21264518496625925,0.0340346593459499,0.29
season_poor,0.10049167864006174,0.009267429351797455,0.065,0.22607963390581992,0.010226113538456849,1.476889904083397,0.05046213326086454,11,0.30292128102314925,0.015192064724966318,0.26,0.899376362446227,0.032841880206890835,0.310925069156504,0.031814208503925676,0.4,0.21264518496625925,0.0340346593459499,0.29
season_rich,0.10049167864006174,0.009267429351797455,0.115,0.22607963390581992,0.010226113538456849,1.476889904083397,0.05046213326086454,12,0.30292128102314925,0.015192064724966318,0.37,0.899376362446227,0.032841880206890835,0.310925069156504,0.031814208503925676,0.23,0.21264518496625925,0.0340346593459499,0.15
season_rich,0.10049167864006174,0.009267429351797455,0.115,0.22607963390581992,0.010226113538456849,1.476889904083397,0.05046213326086454,13,0.30292128102314925,0.015192064724966318,0.37,0.899376362446227,0.032841880206890835,0.310925069156504,0.031814208503925676,0.23,0.21264518496625925,0.0340346593459499,0.15
season_rich,0.10049167864006174,0.009267429351797455,0.115,0.22607963390581992,0.010226113538456849,1.476889904083397,0.05046213326086454,14,0.30292128102314925,0.015192064724966318,0.37,0.899376362446227,0.032841880206890835,0.310925069156504,0.031814208503925676,0.23,0.21264518496625925,0.0340346593459499,0.15
season_rich,0.10049167864006174,0.009267429351797455,0.115,0.22607963390581992,0.010226113538456849,1.476889904083397,0.05046213326086454,15,0.30292128102314925,0.015192064724966318,0.37,0.899376362446227,0.032841880206890835,0.310925069156504,0.031814208503925676,0.23,0.21264518496625925,0.0340346593459499,0.15
season_rich,0.10049167864006174,0.009267429351797455,0.115,0.22607963390581992,0.010226113538456849,1.476889904083397,0.05046213326086454,16,0.30292128102314925,0.015192064724966318,0.37,0.899376362446227,0.032841880206890835,0.310925069156504,0.031814208503925676,0.23,0.21264518496625925,0.0340346593459499,0.15
season_rich,0.10049167864006174,0.009267429351797455,0.115,0.22607963390581992,0.010226113538456849,1.476889904083397,0.05046213326086454,17,0.30292128102314925,0.015192064724966318,0.37,0.899376362446227,0.032841880206890835,0.310925069156504,0.031814208503925676,0.23,0.21264518496625925,0.0340346593459499,0.15
season_poor,0.10049167864006174,0.009267429351797455,0.065,0.22607963390581992,0.010226113538456849,1.476889904083397,0.05046213326086454,18,0.30292128102314925,0.015192064724966318,0.26,0.899376362446227,0.032841880206890835,0.310925069156504,0.031814208503925676,0.4,0.21264518496625925,0.0340346593459499,0.29
season_poor,0.10049167864006174,0.009267429351797455,0.065,0.22607963390581992,0.010226113538456849,1.476889904083397,0.05046213326086454,19,0.30292128102314925,0.015192064724966318,0.26,0.899376362446227,0.032841880206890835,0.310925069156504,0.031814208503925676,0.4,0.21264518496625925,0.0340346593459499,0.29
season_poor,0.10049167864006174,0.009267429351797455,0.065,0.22607963390581992,0.010226113538456849,1.476889904083397,0.05046213326086454,20,0.30292128102314925,0.015192064724966318,0.26,0.899376362446227,0.032841880206890835,0.310925069156504,0.031814208503925676,0.4,0.21264518496625925,0.0340346593459499,0.29
season_poor,0.10049167864006174,0.009267429351797455,0.065,0.22607963390581992,0.010226113538456849,1.476889904083397,0.05046213326086454,21,0.30292128102314925,0.015192064724966318,0.26,0.899376362446227,0.032841880206890835,0.310925069156504,0.031814208503925676,0.4,0.21264518496625925,0.0340346593459499,0.29
season_poor,0.10049167864006174,0.009267429351797455,0.065,0.22607963390581992,0.010226113538456849,1.476889904083397,0.05046213326086454,22,0.30292128102314925,0.015192064724966318,0.26,0.899376362446227,0.032841880206890835,0.310925069156504,0.031814208503925676,0.4,0.21264518496625925,0.0340346593459499,0.29
season_poor,0.10049167864006174,0.009267429351797455,0.065,0.22607963390581992,0.010226113538456849,1.476889904083397,0.05046213326086454,23,0.30292128102314925,0.015192064724966318,0.26,0.899376362446227,0.032841880206890835,0.310925069156504,0.031814208503925676,0.4,0.21264518496625925,0.0340346593459499,0.29
season_rich,0.10049167864006174,0.009267429351797455,0.115,0.22607963390581992,0.010226113538456849,1.476889904083397,0.05046213326086454,24,0.30292128102314925,0.015192064724966318,0.37,0.899376362446227,0.032841880206890835,0.310925069156504,0.031814208503925676,0.23,0.21264518496625925,0.0340346593459499,0.15
season_rich,0.10049167864006174,0.009267429351797455,0.115,0.22607963390581992,0.010226113538456849,1.476889904083397,0.05046213326086454,25,0.30292128102314925,0.015192064724966318,0.37,0.899376362446227,0.032841880206890835,0.310925069156504,0.031814208503925676,0.23,0.21264518496625925,0.0340346593459499,0.15
season_rich,0.10049167864006174,0.009267429351797455,0.115,0.22607963390581992,0.010226113538456849,1.476889904083397,0.05046213326086454,26,0.30292128102314925,0.015192064724966318,0.37,0.899376362446227,0.032841880206890835,0.310925069156504,0.031814208503925676,0.23,0.21264518496625925,0.0340346593459499,0.15
season_rich,0.10049167864006174,0.009267429351797455,0.115,0.22607963390581992,0.010226113538456849,1.476889904083397,0.05046213326086454,27,0.30292128102314925,0.015192064724966318,0.37,0.899376362446227,0.032841880206890835,0.310925069156504,0.031814208503925676,0.23,0.21264518496625925,0.0340346593459499,0.15
season_rich,0.10049167864006174,0.009267429351797455,0.115,0.22607963390581992,0.010226113538456849,1.476889904083397,0.05046213326086454,28,0.30292128102314925,0.015192064724966318,0.37,0.899376362446227,0.032841880206890835,0.310925069156504,0.031814208503925676,0.23,0.21264518496625925,0.0340346593459499,0.15
