environment,export_cost_mean,export_cost_std,export_cost_target,fission_threshold_mean,fission_threshold_std,fission_threshold_target,formation_drive_mean,formation_drive_std,formation_drive_target,generation,neighbor_scale_mean,neighbor_scale_std,neighbor_scale_target,node_birth_threshold_mean,node_birth_threshold_std,node_birth_threshold_target,resource_blend_mean,resource_blend_std,resource_blend_target,topology_blend_mean,topology_blend_std,topology_blend_target
resource_rich_connected,0.093810205984169,0.017974970824787995,0.12,0.22049852463731126,0.021281508177714365,0.235,1.478373026511459,0.12772925738077853,1.34,0,0.3181430231254359,0.016209085025125063,0.38,0.9064467176920895,0.07750257977089443,0.92,0.29800319286889254,0.044801701521475217,0.22,0.2020081228504735,0.03743588285468642,0.14
resource_rich_connected,0.10340430933235929,0.010048017786899805,0.12,0.21434682274911568,0.017436920012376456,0.235,1.4337776988770425,0.12006514162213507,1.34,1,0.31900291911573275,0.017250857678443286,0.38,0.9206760357558426,0.060966134111791616,0.92,0.2801497286550468,0.043859929452892965,0.22,0.1923950207585441,0.03618611395636691,0.14
resource_rich_connected,0.10340430933235929,0.010048017786899805,0.12,0.21434682274911568,0.017436920012376456,0.235,1.4337776988770425,0.12006514162213507,1.34,2,0.31900291911573275,0.017250857678443286,0.38,0.9206760357558426,0.060966134111791616,0.92,0.2801497286550468,0.043859929452892965,0.22,0.1923950207585441,0.03618611395636691,0.14
resource_rich_connected,0.10340430933235929,0.010048017786899805,0.12,0.21434682274911568,0.017436920012376456,0.235,1.4337776988770425,0.12006514162213507,1.34,3,0.31900291911573275,0.017250857678443286,0.38,0.9206760357558426,0.060966134111791616,0.92,0.2801497286550468,0.043859929452892965,0.22,0.1923950207585441,0.03618611395636691,0.14
resource_rich_connected,0.10340430933235929,0.010048017786899805,0.12,0.21434682274911568,0.017436920012376456,0.235,1.4337776988770425,0.12006514162213507,1.34,4,0.31900291911573275,0.017250857678443286,0.38,0.9206760357558426,0.060966134111791616,0.92,0.2801497286550468,0.043859929452892965,0.22,0.1923950207585441,0.03618611395636691,0.14
resource_rich_connected,0.10340430933235929,0.010048017786899805,0.12,0.21434682274911568,0.017436920012376456,0.235,1.4337776988770425,0.12006514162213507,1.34,5,0.31900291911573275,0.017250857678443286,0.38,0.9206760357558426,0.060966134111791616,0.92,0.2801497286550468,0.043859929452892965,0.22,0.1923950207585441,0.03618611395636691,0.14
resource_rich_connected,0.10340430933235929,0.010048017786899805,0.12,0.21434682274911568,0.017436920012376456,0.235,1.4337776988770425,0.12006514162213507,1.34,6,0.31900291911573275,0.017250857678443286,0.38,0.9206760357558426,0.060966134111791616,0.92,0.2801497286550468,0.043859929452892965,0.22,0.1923950207585441,0.03618611395636691,0.14
resource_rich_connected,0.10340430933235929,0.010048017786899805,0.12,0.21434682274911568,0.017436920012376456,0.235,1.4337776988770425,0.12006514162213507,1.34,7,0.31900291911573275,0.017250857678443286,0.38,0.9206760357558426,0.060966134111791616,0.92,0.2801497286550468,0.043859929452892965,0.22,0.1923950207585441,0.03618611395636691,0.14
resource_rich_connected,0.10340430933235929,0.010048017786899805,0.12,0.21434682274911568,0.017436920012376456,0.235,1.4337776988770425,0.12006514162213507,1.34,8,0.31900291911573275,0.017250857678443286,0.38,0.9206760357558426,0.060966134111791616,0.92,0.2801497286550468,0.043859929452892965,0.22,0.1923950207585441,0.03618611395636691,0.14
resource_rich_connected,0.10340430933235929,0.010048017786899805,0.12,0.21434682274911568,0.017436920012376456,0.235,1.4337776988770425,0.12006514162213507,1.34,9,0.31900291911573275,0.017250857678443286,0.38,0.9206760357558426,0.060966134111791616,0.92,0.2801497286550468,0.043859929452892965,0.22,0.1923950207585441,0.03618611395636691,0.14
resource_rich_connected,0.10340430933235929,0.010048017786899805,0.12,0.21434682274911568,0.017436920012376456,0.235,1.4337776988770425,0.12006514162213507,1.34,10,0.31900291911573275,0.017250857678443286,0.38,0.9206760357558426,0.060966134111791616,0.92,0.2801497286550468,0.043859929452892965,0.22,0.1923950207585441,0.03618611395636691,0.14
resource_rich_connected,0.10213015765058767,0.0077177047985949624,0.12,0.21375856488863137,0.017551209431096924,0.235,1.426537273283139,0.1219789651723437,1.34,11,0.3186406878208774,0.0175038810414491,0.38,0.9236826025768876,0.06039818730580974,0.92,0.28395690322488776,0.04136507227809681,0.22,0.19346891083237322,0.03781593929165543,0.14
resource_rich_connected,0.104066122288727,0.009639863901733785,0.12,0.2136425713973207,0.01812248806386634,0.235,1.4225099983090992,0.11966652676645471,1.34,12,0.3217529093517717,0.009500270432451005,0.38,0.9202430061952934,0.05758298601636745,0.92,0.2782215575056308,0.04329252326212601,0.22,0.1964895166652168,0.032697435111053406,0.14
