generation,environment,reward_perspective,reward_control,reward_gain,perspective_closure,multiplicity_unity_distance,standpoint_persistence,action_source
0,perspective_A,0.7026065271228672,0.7026065271228672,0.0,True,0.2571353534437986,0.9935367430481831,model_free
1,perspective_A,0.7242409680574857,0.7242409680574857,0.0,True,0.3478916500613352,0.9928887309724995,model_free
2,perspective_A,0.7376176959101761,0.7376176959101761,0.0,True,0.35265855402038565,0.9929060253039169,model_free
3,perspective_A,0.7609355598636953,0.7609355598636953,0.0,True,0.35524125153151676,0.992956533850125,model_free
4,perspective_A,0.7609819955660728,0.7609819955660728,0.0,True,0.36028429279276275,0.9929968087130017,model_free
5,perspective_A,0.7678181334054139,0.7678181334054139,0.0,True,0.3577740354578301,0.9930820218305206,model_free
6,perspective_A,0.7356414230156791,0.7356414230156791,0.0,True,0.35914877490159997,0.9931622038067354,model_free
7,perspective_A,0.7742994494424558,0.7742994494424558,0.0,True,0.35482358535499603,0.9932481487396518,model_free
8,perspective_B,0.7880409240165984,0.7880409240165984,0.0,True,0.2723991943641132,0.9937140797369398,model_free
9,perspective_B,0.7784649731493126,0.7784649731493126,0.0,True,0.32493686685550227,0.9934174318303055,model_free
10,perspective_B,0.7801642990829911,0.7801642990829911,0.0,True,0.31803572841167765,0.9935340283050555,model_free
11,perspective_B,0.7795034347262687,0.7795034347262687,0.0,True,0.3119917275039123,0.9936878382370242,model_free
12,perspective_B,0.7508896198578408,0.7508896198578408,0.0,True,0.3065631946284201,0.9938135055236318,perspective
13,perspective_B,0.7784466441795002,0.7784466441795002,0.0,True,0.30247657039285947,0.9938669699921747,perspective
14,perspective_B,0.7605716163152818,0.7605716163152818,0.0,True,0.2984013672209409,0.9940175988918432,perspective
15,perspective_B,0.7780408901056987,0.7780408901056987,0.0,True,0.29464422512773003,0.9940909057550327,perspective
16,perspective_C,0.4827635105602483,0.4827635105602483,0.0,True,0.2154490539152951,0.994862742335387,perspective
17,perspective_C,0.502187002587462,0.502187002587462,0.0,True,0.2594600633368785,0.9942613140060673,perspective
18,perspective_C,0.5044719386211878,0.5044719386211878,0.0,True,0.26408959725120307,0.9943576855065376,perspective
19,perspective_C,0.48893381228314076,0.48893381228314076,0.0,True,0.2665339309016961,0.9944050038631708,perspective
20,perspective_C,0.49245850916765566,0.49245850916765566,0.0,True,0.26346786774612996,0.9944970152898794,perspective
21,perspective_C,0.4996092063372365,0.4996092063372365,0.0,True,0.26007370930460305,0.9945634418391017,perspective
22,perspective_C,0.48613334625534416,0.48613334625534416,0.0,True,0.2572860035956923,0.9946451074477151,perspective
23,perspective_C,0.4944961235104963,0.4944961235104963,0.0,True,0.2543866236421764,0.9947160580236333,perspective
24,perspective_A,0.7561475059775139,0.7561475059775139,0.0,True,0.29138659660864014,0.9946842160365703,perspective
25,perspective_A,0.7842906208449156,0.7842906208449156,0.0,True,0.28940815729382413,0.9947041861190963,perspective
26,perspective_A,0.7732849968875883,0.7732849968875883,0.0,True,0.29314351903303837,0.9947548241916276,perspective
27,perspective_A,0.7634873586901938,0.7634873586901938,0.0,True,0.29150522523951905,0.9948273349890381,perspective
28,perspective_A,0.7729605842364611,0.7729605842364611,0.0,True,0.2892642231559746,0.9948923153722813,perspective
29,perspective_A,0.7976526995724281,0.7976526995724281,0.0,True,0.28650579641118085,0.9949476316228746,perspective
30,perspective_A,0.7525496122091837,0.7525496122091837,0.0,True,0.29115238849696956,0.994991981154121,perspective
31,perspective_A,0.8022544150912193,0.8022544150912193,0.0,True,0.2893464557341055,0.9950829460192784,perspective
32,perspective_B,0.7793946196725403,0.7793946196725403,0.0,True,0.25488727729429983,0.9951872951504931,perspective
33,perspective_B,0.7755423977552964,0.7755423977552964,0.0,True,0.25203814830300286,0.9952929800231669,perspective
34,perspective_B,0.7778193519384338,0.7778193519384338,0.0,True,0.2502124680444035,0.9953951600458906,perspective
35,perspective_B,0.7662531830355013,0.7662531830355013,0.0,True,0.2483634749044382,0.9954755459365041,perspective
36,perspective_B,0.7862681653963546,0.7862681653963546,0.0,True,0.24648555037428216,0.9955482439345195,perspective
37,perspective_B,0.7758658755729002,0.7758658755729002,0.0,True,0.24586456091862602,0.9956329268603362,perspective
38,perspective_B,0.7938630845258796,0.7938630845258796,0.0,True,0.243674556709536,0.9956905308141771,perspective
39,perspective_B,0.7815703505733509,0.7815703505733509,0.0,True,0.24714599967874687,0.9957353534644846,perspective
40,perspective_C,0.5136279870183541,0.5136279870183541,0.0,True,0.22557117089757428,0.9958925137601814,perspective
41,perspective_C,0.48477502650656423,0.48477502650656423,0.0,True,0.23167492136695692,0.9959528958136827,perspective
42,perspective_C,0.5030154599793305,0.5030154599793305,0.0,True,0.2294667791089151,0.9960086958190484,perspective
43,perspective_C,0.5006782932962798,0.5006782932962798,0.0,True,0.23037596962715418,0.9960937111943263,perspective
44,perspective_C,0.4969772691775054,0.4969772691775054,0.0,True,0.22817673558595725,0.9961395941059114,perspective
45,perspective_C,0.5004482035982263,0.5004482035982263,0.0,True,0.22896787366553917,0.9962173633778543,perspective
