actual_quadratic_ratio,alpha_bound,alpha_bound_verified,bound_satisfied,carrier_id,contraction_constant,depth,lambda_keep,lambda_up,lambda_up_bound,lambda_up_bound_verified,local_small_load_parameter,predicted_steps_to_numerical_floor,projector_norm,reason,rho_mass,state_index,success,successor_bound_verified,successor_y_norm,theorem_applicable,y_norm
0.22399334553883785,0.3654088646349727,True,True,annual-sunspots,2.433901869206301,1,0.6973977937231679,0.018054809854463456,0.25483533600331765,True,1.2286633059133425,,1.0000000000000002,,1.0,0,True,True,0.05708141947289697,True,0.5048121789371941
1.1095117863347714,0.0033491399633582973,True,True,annual-sunspots,2.027883201790873,2,1.1781807694480768,0.0009242594858963364,0.003945892299018782,True,0.1157544516834662,4,1.0,,1.2110322215887235,0,True,True,0.003615109437489234,True,0.05708141947289697
1.1616710483501387,1.3088386003378416e-05,True,True,annual-sunspots,2.001482112960268,3,1.20665036971088,2.6822418767483415e-06,1.5793105809895272e-05,True,0.007235576875528558,3,1.0000000000000002,,1.2084387618623393,0,True,True,1.5181897802261704e-05,True,0.003615109437489234
,,,,annual-sunspots,,4,1.2053432593216047,2.407395957475674e-11,,,,,,dual persistent load below admissibility threshold,,0,False,,,False,1.5181897802261704e-05
0.22146842660219185,0.36171367835512,True,True,annual-sunspots,2.4165257333260133,1,0.7059525827688229,0.017735108668482262,0.25535270545760824,True,1.2211293116021271,,1.0,,1.0,1,True,True,0.056552561906309425,True,0.5053243566835149
1.1048390184971735,0.0032853920092172475,True,True,annual-sunspots,2.0272653249121007,2,1.181516463409103,0.0008852002471859772,0.0038817447476428898,True,0.11464704778760607,4,1.0,,1.2137308936729485,1,True,True,0.0035334875954784427,True,0.056552561906309425
1.1544260316521717,1.2503232031188468e-05,True,True,annual-sunspots,2.0014174358065775,3,1.2097891052625427,2.4560675413727394e-06,1.512627389190146e-05,True,0.007071983682796814,3,1.0,,1.211503903658749,1,True,True,1.4413626146788148e-05,True,0.0035334875954784427
,,,,annual-sunspots,,4,1.2088362791185863,2.01070382599354e-11,,,,,,dual persistent load below admissibility threshold,,1,False,,,False,1.4413626146788148e-05
0.22102988180390004,0.35561136632935114,True,True,annual-sunspots,2.3874316768517048,1,0.7207562121323001,0.017702662973963175,0.2563091013867349,True,1.208684536320083,,1.0,,1.0,2,True,True,0.05665197038477385,True,0.5062697911062193
1.0971648059002876,0.003295604664480934,True,True,annual-sunspots,2.0268454190398826,2,1.1847651711212774,0.0008589227418160952,0.0039045176242618338,True,0.11482478665396197,4,1.0000000000000002,,1.2165706886038856,2,True,True,0.003521290921675593,True,0.05665197038477385
1.1451889413527028,1.2416515333256217e-05,True,True,annual-sunspots,2.00137308699935,3,1.2132014373994688,2.3056590005322024e-06,1.5063734249798987e-05,True,0.0070474168821366675,3,1.0,,1.214867268520755,2,True,True,1.4199758545927962e-05,True,0.003521290921675593
,,,,annual-sunspots,,4,1.2128401951536592,1.7624078447056636e-11,,,,,,dual persistent load below admissibility threshold,,2,False,,,False,1.4199758545927962e-05
0.2098042489490183,0.3482179726411385,True,True,annual-sunspots,2.3556786415102424,1,0.737637939686052,0.01644434494255644,0.2568587879006634,True,1.1938870973766869,,1.0000000000000002,,1.0000000000000002,3,True,True,0.053890065081453865,True,0.5068123793877408
1.0944307033561314,0.0029767668716672545,True,True,annual-sunspots,2.025008360247524,2,1.1888653300742895,0.000746909762691738,0.0035389749294389007,True,0.10912783232422724,4,1.0000000000000002,,1.2185969025345775,3,True,True,0.0031783790137080467,True,0.053890065081453865
1.1349047347293026,1.0114160205792368e-05,True,True,annual-sunspots,2.0011945099721165,3,1.2158752520828253,1.7457929151674812e-06,1.2297557089823876e-05,True,0.006360554632843133,2,1.0,,1.2173276271962878,3,True,True,1.1464913352036e-05,True,0.0031783790137080467
,,,,annual-sunspots,,4,1.2158326858935709,1.0075644729136339e-11,,,,,,dual persistent load below admissibility threshold,,3,False,,,False,1.1464913352036e-05
0.17042305916978817,0.3193276658616335,True,True,annual-sunspots,2.2453602577115674,1,0.8029804980589053,0.016361203876406948,0.25641388817756217,True,1.1369904151542831,,1.0000000000000002,,1.0000000000000002,4,True,True,0.04369883923684011,True,0.5063732696120147
1.1835186310125947,0.0019543704444341427,True,True,annual-sunspots,2.0234510694839307,2,1.1904524575103599,0.000659088654509307,0.0023265850984622396,True,0.08842246298899048,4,1.0,,1.2183698408087513,4,True,True,0.0022600336272592956,True,0.04369883923684011
1.2147707521125508,5.113143674904554e-06,True,True,annual-sunspots,2.0010555873827887,3,1.2153122748500198,1.3673239226707925e-06,6.214066271183243e-06,True,0.004522452917500204,2,1.0000000000000004,,1.2165951431534978,4,True,True,6.204747734201736e-06,True,0.0022600336272592956
,,,,annual-sunspots,,4,1.2144371433747092,6.2158338182608016e-12,,,,,,dual persistent load below admissibility threshold,,4,False,,,False,6.204747734201736e-06
0.144342288517967,0.28695103468467764,True,True,annual-sunspots,2.1240225013202028,1,0.8896619051891461,0.009541459227338966,0.25528940421356705,True,1.073187259216962,,1.0000000000000002,,1.0000000000000002,5,True,True,0.03684905683857458,True,0.5052617185316606
1.0956071056474805,0.0013788599388781107,True,True,annual-sunspots,2.0154707093786888,2,1.1931826221473718,0.00028859028688733276,0.0016452317174445491,True,0.07426819472637754,3,1.0,,1.2116420037303157,5,True,True,0.0014876733841508998,True,0.03684905683857458
