generation,success,terminal_reason,persistent_rank,support_rank,lambda_keep,lambda_up,omega_keep,omega_up,formation_eigenvalue,formation_gap,spectral_novelty,spectral_mismatch,commutator_norm,second_moment_loss,crossfed_gain,neutral_partition_residual,reciprocal_balance_residual,PY_commutator_norm,schur_stratum_compatible
0,True,,4,6,0.38243965859137935,0.789051876209471,0.6735446674342442,0.3264553325657559,-0.9290149017118305,1.7207226569721585,True,0.2623721966574676,4.7838045406450656,9.61253961810035,0.4647089491896132,1.4500903111772503e-16,0.0,1.293886352232421,False
1,True,,6,6,0.7493285689061542,0.04500801571515366,0.056661139102148726,0.9433388608978512,-0.8914626357214189,1.6914659567936408,True,0.013274926971870701,0.19997086941539144,0.2766513281399767,0.271297384260006,3.1711121317633485e-16,0.0,5.869724834071363e-17,True
2,True,,6,6,0.8303261594628363,0.00452518201246797,0.005420344662166216,0.9945796553378338,-0.8876521080749009,1.6879944287439197,True,0.0011686840832430593,0.023943120810513023,0.02712707271247794,0.0969769764741598,1.5703031975179744e-16,0.0,8.051148756375297e-18,True
3,True,,6,6,0.8793844198903017,7.802130240579597e-05,8.871476341841866e-05,0.9999112852365817,-0.8849283672955508,1.6854485271646786,True,0.000832566501824174,0.00259253018374376,0.01923817633952396,0.013196198958017508,3.140187849202596e-16,0.0,6.861703639016347e-19,True
4,True,,6,6,0.884774296420865,2.6923407962911633e-08,3.042968952935529e-08,0.9999999695703105,-0.8823620194712278,1.6830158341750452,True,0.0007844515521209224,4.66607160265021e-05,0.01805038983434315,0.0002466539863750874,2.7194799131217375e-16,3.308722450212111e-24,9.305184920917923e-21,True
5,False,dual-order failure: one persistent load vanished,,,0.8823619657896952,3.2771297688327782e-15,,,,,,,,,,,,,
