generation,success,terminal_reason,persistent_rank,support_rank,lambda_keep,lambda_up,omega_keep,omega_up,formation_eigenvalue,formation_gap,spectral_novelty,spectral_mismatch,commutator_norm,second_moment_loss,crossfed_gain,neutral_partition_residual,reciprocal_balance_residual,PY_commutator_norm,schur_stratum_compatible
0,True,,4,6,0.4082637349290129,0.8506115666152265,0.6756916793679221,0.3243083206320778,-0.7892529634617323,1.5607193714792016,True,0.26612246366911885,3.0657269637204205,8.392089778864545,0.477263975096832,2.7867851444665465e-16,0.0,1.5714445640619694,False
1,True,,6,6,0.6383411051664457,0.03871154810753209,0.057176569533163,0.942823430466837,-0.7349648121181644,1.5548357577984246,True,0.023611482890860458,0.30674903151510374,0.510794656285082,0.2730778837656393,3.855694880991156e-16,0.0,1.1104439298797333e-16,True
2,True,,6,6,0.684132503114306,0.003841577339581082,0.005583898360017608,0.9944161016399823,-0.7258580148023425,1.5485079219724718,True,0.003132093133874465,0.04322598866578919,0.07053292066400729,0.09836478571770882,3.511494088352397e-16,4.336808689942018e-19,1.526381707029316e-17,True
3,True,,6,6,0.7189143228479508,6.800590327992648e-05,9.458633482417154e-05,0.9999054136651758,-0.7183909671840171,1.5430002548731379,True,0.002590302415114076,0.005113011052012877,0.057459268703372146,0.0136224234921097,2.9373857033657577e-16,0.0,7.983136280585446e-19,True
4,True,,6,6,0.7182577797828891,2.507804709121017e-08,3.4915105581157725e-08,0.9999999650848944,-0.710278750894132,1.5368277394076832,True,0.002846570840507692,0.00010395110446073305,0.062339306327636734,0.00026420507362136887,1.7696864026964836e-20,3.308722450212111e-24,1.4980061096202832e-20,True
5,False,dual-order failure: one persistent load vanished,,,0.71027870135376,3.518050870526446e-15,,,,,,,,,,,,,
