generation,environment,reward,maintenance,environment_match,world_coherent,organism_coherent,world_self_distance,world_self_corridor,self_mediator_strength,self_reference_reachable,organism_recurrent_coupling,policy_to_self_coupling,recurrent_rho,self_model_closure,self_model_action_used,self_model_action_intervention,action_source,chosen_candidate_index,candidate_count,prediction_error,persistence_baseline_error,policy_change_norm,memory_slots,mean_resource,retained_fraction,export_fraction,self_model_excess_export_norm,self_model_excess_exports_total
0,self_world_A,0.6723468710772151,0.453682564183663,0.6983615913542266,True,True,0.8000148063129151,True,0.5370833528753102,False,0.34097174496900867,0.03188202361874559,0.3310165644861601,False,False,False,model_free,1,5,,,0.08790063185339772,1,0.4595438387067297,0.9404076160249328,0.05959238397506723,0.0,0
1,self_world_A,0.6939195899157453,0.5228872680625305,0.6983615913542266,True,True,0.9316901029647023,True,0.5944622975511545,False,0.5361786269563408,0.03224679774668416,0.3168333760811647,False,False,False,model_free,0,5,,,0.0,1,0.5279062633384168,0.9541865862480418,0.04581341375195818,0.0,0
2,self_world_A,0.706868917639601,0.5610196935502536,0.6983615913542266,True,True,0.9347005704332347,True,0.6027248509234636,False,0.6723349868289439,0.031004663585304706,0.4766443666097037,False,False,False,model_free,0,5,,,9.81547334535603e-18,1,0.5663671827715948,0.9594652204915591,0.04053477950844076,0.0,0
3,self_world_A,0.6772863208769527,0.5873968099234522,0.6253047951411705,True,True,0.9383947352086527,True,0.6066985686160271,False,0.7109831590776293,0.38527646598496385,0.5043704812626236,False,False,False,model_free,1,5,,,0.06895249710851147,1,0.5932186681087965,0.9632742213389472,0.03672577866105278,0.0,0
4,self_world_A,0.7220816798935632,0.6124279794277593,0.6983615913542266,True,True,0.9429292048831296,True,0.6095050645883583,False,0.8442353031991003,0.42483398871264894,0.6356278272712512,False,False,False,model_free,0,5,,,0.06895249710851147,1,0.6190405100276105,0.966617352177186,0.03338264782281404,0.0,0
5,self_world_A,0.7269747492521363,0.622707582857774,0.6983615913542266,True,True,0.9483361464926172,True,0.6121171100182325,False,0.8467610357989566,0.4694664881635952,0.6549279440461999,False,False,False,model_free,0,5,,,6.505213034913027e-19,1,0.6299319884234132,0.9676841868331075,0.03231581316689253,0.0,0
6,self_world_A,0.7248614449804037,0.6223612650903925,0.6901579910734034,True,True,0.9506425665423202,True,0.6131266926022118,False,0.8510044586169518,0.6825061918086818,0.655493585878347,False,False,False,model_free,1,5,,,0.06597093226652587,1,0.6300906768518494,0.9675120818442742,0.032487918155726,0.0,0
7,self_world_A,0.7297345937252299,0.6155431535623886,0.6983615913542266,True,True,0.9504278128625534,True,0.613091147543206,False,0.8398663852753792,0.6841878076551386,0.5925621293582755,False,False,False,model_free,0,5,,,0.06597093226652587,1,0.6237807462221293,0.9664223539740048,0.03357764602599533,0.0,0
8,self_world_B,0.7902905996510803,0.5760542426575017,0.8309251736785285,True,True,0.9141161691512198,True,0.3632059517955198,False,0.8894322247886174,0.6854596680393767,0.5940368824704905,False,False,False,model_free,0,5,,,0.0,2,0.5845043218955126,0.9611861518321035,0.03881384816789637,0.0,0
9,self_world_B,0.7809062258597328,0.5451997439687895,0.8229746290433981,True,True,0.8912015377492793,True,0.3645381443236208,False,1.1181220341105744,0.7441904269239228,0.7465499393044905,False,False,False,model_free,1,5,,,0.07046553989952854,2,0.5539808550579796,0.9564153847341146,0.0435846152658852,0.0,0
