generation,environment,reward_self_model,reward_control,reward_gain,prediction_error,persistence_baseline_error,self_reference_reachable,self_model_closure,self_model_action_intervention
0,self_world_A,0.6723468710772151,0.6723468710772151,0.0,,,False,False,False
1,self_world_A,0.6939195899157453,0.6939195899157453,0.0,,,False,False,False
2,self_world_A,0.706868917639601,0.706868917639601,0.0,,,False,False,False
3,self_world_A,0.6772863208769527,0.6772863208769527,0.0,,,False,False,False
4,self_world_A,0.7220816798935632,0.7220816798935632,0.0,,,False,False,False
5,self_world_A,0.7269747492521363,0.7269747492521363,0.0,,,False,False,False
6,self_world_A,0.7248614449804037,0.7248614449804037,0.0,,,False,False,False
7,self_world_A,0.7297345937252299,0.7297345937252299,0.0,,,False,False,False
8,self_world_B,0.7902905996510803,0.7902905996510803,0.0,,,False,False,False
9,self_world_B,0.7809062258597328,0.7809062258597328,0.0,,,False,False,False
10,self_world_B,0.7813204751711116,0.7813204751711116,0.0,,,False,False,False
11,self_world_B,0.7798420343301794,0.7798420343301794,0.0,,,False,False,False
12,self_world_B,0.7752863436430462,0.7752863436430462,0.0,0.007616884939703385,0.00734621592541971,False,False,False
13,self_world_B,0.7770307858501353,0.7770403180837189,-9.532233583575689e-06,0.011095812621683111,0.01103218317094252,True,True,True
14,self_world_B,0.7528848753967826,0.7752991834938645,-0.022414308097081892,0.025746484128967035,0.024247412564118748,True,True,True
15,self_world_B,0.7330192441887953,0.7330969086821489,-7.766449335366854e-05,0.021090396965174785,0.020587086707850463,True,True,True
16,self_world_C,0.45070747364887087,0.47084493920701065,-0.020137465558139778,0.023056240431038176,0.013333923816378958,True,True,True
17,self_world_C,0.4575724007895654,0.4690563958526768,-0.011483995063111374,0.011540295648001193,0.006037308953539837,True,True,True
18,self_world_C,0.441029933591287,0.4560155778822538,-0.01498564429096677,0.009197187810690692,0.005803415667324353,True,True,False
19,self_world_C,0.4516853845405058,0.46855072020332555,-0.01686533566281978,0.007748077266365648,0.0036032932502295667,True,True,False
20,self_world_C,0.45270858513601303,0.4700345285769051,-0.017325943440892055,0.006158105360178647,0.0028992025273102094,True,True,False
21,self_world_C,0.46763870229183324,0.48560305172118656,-0.01796434942935332,0.009966367232675943,0.008477003633075197,True,True,False
22,self_world_C,0.4623220588299256,0.47996253707964565,-0.017640478249720037,0.004770020487182127,0.004426750008096012,True,True,False
23,self_world_C,0.4634180832409395,0.4808804270245068,-0.017462343783567258,0.0029952301453496258,0.002657051762412285,True,True,False
24,self_world_A,0.7213648268956805,0.717192650798409,0.004172176097271496,0.024690992025789064,0.034345478145663834,True,True,False
25,self_world_A,0.6776239502861152,0.7225965938596306,-0.04497264357351538,0.020755188399880744,0.024750762428977117,True,True,True
26,self_world_A,0.7568490029716302,0.7261655775001685,0.030683425471461634,0.01708659560186943,0.01281823129381754,True,True,True
27,self_world_A,0.7344370701792564,0.7206173989177005,0.013819671261555921,0.025006822920959064,0.021845254622850526,True,True,True
28,self_world_A,0.7512933554933999,0.7295858743957238,0.021707481097676173,0.02982550984141498,0.030643007549017456,True,True,True
29,self_world_A,0.7435402391284921,0.7306005910569469,0.01293964807154524,0.01231933237000046,0.004383667606510209,True,True,True
30,self_world_A,0.6943463899916693,0.7197586965212344,-0.025412306529565054,0.016214123869441998,0.012898106360134168,True,True,True
31,self_world_A,0.7469319565836647,0.7316781374559187,0.015253819127746038,0.02729962533580733,0.024476677465702153,True,True,True
32,self_world_B,0.7884140925762745,0.794331714508381,-0.005917621932106543,0.01013930815133495,0.022156908952505817,True,True,True
33,self_world_B,0.7920838371513261,0.8081025441286973,-0.016018706977371178,0.011200727168098928,0.009989239374654799,True,True,False
34,self_world_B,0.7965545155582952,0.7952110406961154,0.0013434748621797832,0.005830739885153924,0.007544347475940902,True,True,True
35,self_world_B,0.8067337011718219,0.7926979027622056,0.014035798409616218,0.01140095071334665,0.006330439200086865,True,True,True
36,self_world_B,0.8172776650100108,0.8017245969711213,0.01555306803888945,0.02188435501363133,0.022845116441693854,True,True,True
37,self_world_B,0.7982188841969573,0.791420649425549,0.006798234771408285,0.00976372135828481,0.007567169039072553,True,True,True
38,self_world_B,0.8259563821116511,0.7910806992751427,0.03487568283650844,0.008941449520153367,0.008055303969760999,True,True,True
39,self_world_B,0.8337121585490104,0.7842675643966237,0.04944459415238667,0.006439845257805787,0.0017004017524764356,True,True,True
40,self_world_C,0.5295560347194197,0.4966294304951019,0.03292660422431781,0.01503926333333408,0.013763340204839962,True,True,True
41,self_world_C,0.47770815803928857,0.48584907298646884,-0.008140914947180278,0.010524469803945502,0.011894109444867735,True,True,True
42,self_world_C,0.49071596602541717,0.4760310484537622,0.014684917571654965,0.021956736469148145,0.022482200547533356,True,True,True
43,self_world_C,0.49661967291392234,0.48416318041059403,0.01245649250332831,0.01608052460568203,0.01980822850387688,True,True,True
44,self_world_C,0.48974310387132625,0.48382844853020546,0.005914655341120789,0.016664587031513307,0.01740833251847775,True,True,True
45,self_world_C,0.4962749382995607,0.4506139190286693,0.04566101927089139,0.01663485617653653,0.01955849292442947,True,True,True
46,self_world_C,0.5116056755400411,0.4831631901885587,0.028442485351482416,0.004887090413190895,0.005190638851732031,True,True,True
47,self_world_C,0.5041911043906314,0.4835725597001028,0.020618544690528595,0.005788672825391361,0.00868840904180399,True,True,True
48,self_world_A,0.7247546824040634,0.7144751061395569,0.010279576264506485,0.01795739604113364,0.026008644941538178,True,True,True
49,self_world_A,0.7347032586177826,0.7198683550550555,0.014834903562727098,0.006496921912043216,0.013250350323479945,True,True,True
50,self_world_A,0.7436906979513926,0.7240791898007409,0.019611508150651713,0.015508276185839765,0.015755802600662106,True,True,True
51,self_world_A,0.6994651477403666,0.7521278868509766,-0.052662739110610035,0.007099599753771914,0.007225301322450422,True,True,True
52,self_world_A,0.7106357358597732,0.739756890436168,-0.029121154576394748,0.013551073578052521,0.011980207885540248,True,True,True
53,self_world_A,0.7247584904825352,0.7410876422149392,-0.016329151732404013,0.01512564961318924,0.013071395117660123,True,True,True
54,self_world_A,0.7303180598511984,0.727920045720725,0.002398014130473358,0.00994572435274195,0.002746313543363033,True,True,True
55,self_world_A,0.7542729318403572,0.7425093287172624,0.011763603123094768,0.028831857759501377,0.031962814665043776,True,True,True
56,self_world_B,0.8246582616075033,0.8013741561640337,0.023284105443469594,0.007583156522606373,0.014503705314486711,True,True,False
57,self_world_B,0.8273161472587267,0.8050790955803251,0.02223705167840162,0.01184695606109438,0.015836270597626843,True,True,True
58,self_world_B,0.8413275590807769,0.7941853242648076,0.04714223481596935,0.0034058623951129926,0.008209893643815832,True,True,True
59,self_world_B,0.8309526339302753,0.7920831685352498,0.03886946539502545,0.01016657168532724,0.011117348662589026,True,True,True
60,self_world_B,0.8312306977677006,0.7833230648616236,0.047907632906077025,0.015133803503181484,0.014074658193372754,True,True,True
61,self_world_B,0.8309334308398902,0.7895255569062203,0.04140787393366996,0.004321906322994674,0.004769612786160567,True,True,True
62,self_world_B,0.8264483397005062,0.7888400388684551,0.037608300832051134,0.009278320882299497,0.005275357032545614,True,True,True
63,self_world_B,0.8241603764046814,0.7641300810384106,0.0600302953662708,0.0053955688119964795,0.0011038114201471667,True,True,True
64,self_world_C,0.5179812717735395,0.4872762431675435,0.030705028605996,0.009844872289101895,0.01166342963690523,True,True,True
65,self_world_C,0.49108045518307597,0.48524720341033833,0.005833251772737635,0.012995853191609962,0.014673727429486787,True,True,False
66,self_world_C,0.48528814928363817,0.4775608888091639,0.007727260474474251,0.0020940469982440525,0.0037763536461687675,True,True,False
67,self_world_C,0.5073401246297802,0.48355060848612275,0.02378951614365743,0.013494435722634342,0.014572600114178484,True,True,True
68,self_world_C,0.4704695086568881,0.48296956037261085,-0.01250005171572277,0.014721753602767396,0.017923904496536594,True,True,True
69,self_world_C,0.47624943360069383,0.4682544175901888,0.007995016010505007,0.020951859456793415,0.02213435382930381,True,True,True
70,self_world_C,0.4961086186741773,0.4830107930847145,0.01309782558946282,0.011232041119233422,0.011717429581830089,True,True,True
71,self_world_C,0.4931941366072285,0.48304612306787853,0.010148013539349965,0.004233840765464408,0.0033408752081500646,True,True,True
72,self_world_A,0.7208857692411171,0.7306427719232285,-0.009757002682111326,0.025707577517358526,0.03127741422611592,True,True,True
73,self_world_A,0.7321450392128774,0.7296875532666115,0.002457485946265936,0.0036592899202634913,0.013958779472853127,True,True,True
74,self_world_A,0.7061157853033324,0.7339429607364221,-0.027827175433089657,0.0141545432925405,0.019974292543657,True,True,True
75,self_world_A,0.7418200029188621,0.7102963558720288,0.0315236470468333,0.006541312061077757,0.0063421387735826075,True,True,True
76,self_world_A,0.6979330927102296,0.7384908893535458,-0.04055779664331616,0.00808807286650258,0.004372506798578679,True,True,True
77,self_world_A,0.7315340473769508,0.739926211213632,-0.008392163836681177,0.010558925245268304,0.010121712638053126,True,True,True
78,self_world_A,0.7120742827260433,0.7563760367102246,-0.044301753984181236,0.008712279217841637,0.0034961034560576716,True,True,True
79,self_world_A,0.7422663138630212,0.7487984394170959,-0.006532125554074675,0.010939000260497857,0.007184527788899495,True,True,True
80,self_world_A,0.7427239109693784,0.7492198769586368,-0.00649596598925839,0.010498511585700926,0.005777790373448181,True,True,True
