carrying_capacity,disturbance,environment,generation,max_environment_fitness,mean_environment_fitness,mean_environment_match,mean_intrinsic_fitness,mean_maintenance,mean_unit_nodes,population_size,resource_supply,total_nodes
8,0.015,resource_rich_connected,0,0.6795626727363546,0.5999271541523249,0.689789634519951,0.544850150056038,0.3187821636276054,24.0,12,0.92,288
8,0.015,resource_rich_connected,1,0.7389924879364608,0.6902140311093815,0.755108338342333,0.6504401008698306,0.4522773717453985,24.0,8,0.92,192
8,0.015,resource_rich_connected,2,0.7644127635897644,0.7174693711093189,0.755108338342333,0.694400326676181,0.5188949402428111,24.0,8,0.92,192
8,0.015,resource_rich_connected,3,0.7805551222511302,0.7327532118504538,0.755108338342333,0.7190516827102698,0.5518673106575777,24.125,8,0.92,193
8,0.015,resource_rich_connected,4,0.7927212896972657,0.7429100665167517,0.755108338342333,0.7354337063655889,0.5764340070161403,24.25,8,0.92,194
8,0.015,resource_rich_connected,5,0.8046002065971669,0.7531315626249324,0.755108338342333,0.7519199904110416,0.603192207009202,24.375,8,0.92,195
8,0.015,resource_rich_connected,6,0.8150497588418453,0.7602654705525779,0.755108338342333,0.7634262935201472,0.617705188190793,24.5,8,0.92,196
8,0.015,resource_rich_connected,7,0.8224598268522705,0.7642113966244244,0.755108338342333,0.7697906904102221,0.6176721558389444,24.625,8,0.92,197
8,0.015,resource_rich_connected,8,0.8270129941676354,0.7657589736971304,0.755108338342333,0.772286782462974,0.6150508608156259,24.75,8,0.92,198
8,0.015,resource_rich_connected,9,0.8297938340226382,0.7652274744783825,0.755108338342333,0.7714295256585417,0.604341295496406,25.0,8,0.92,200
8,0.015,resource_rich_connected,10,0.8313966771086911,0.7660242865616345,0.755108338342333,0.7727147064379805,0.5971426858446889,25.125,8,0.92,201
8,0.015,resource_rich_connected,11,0.8323865414800591,0.7617314386079777,0.7506152157633061,0.7685446074482601,0.5955846680044945,24.5,8,0.92,196
8,0.015,resource_rich_connected,12,0.8331340105783179,0.7592985403074577,0.7643519590813188,0.7562012836396075,0.6270561463594744,22.25,8,0.92,178
8,0.015,resource_rich_connected,13,0.818831433653363,0.7611996313713664,0.765048729349399,0.758840506804185,0.6386927223341172,21.625,8,0.92,173
8,0.015,resource_rich_connected,14,0.815493206442881,0.7672471810638517,0.765048729349399,0.7685946192114195,0.6495123968497141,21.875,8,0.92,175
8,0.015,resource_rich_connected,15,0.8158098372366355,0.7658230316760417,0.763711880806143,0.7671169628543666,0.6600554515822137,21.375,8,0.92,171
8,0.015,resource_rich_connected,16,0.8217457172110514,0.7712318707687909,0.763711880806143,0.7758408968749297,0.6717308115669435,21.75,8,0.92,174
8,0.015,resource_rich_connected,17,0.8303216798388964,0.7781216681714596,0.763711880806143,0.7869534733308471,0.6866127624369632,22.0,8,0.92,176
8,0.015,resource_rich_connected,18,0.8420768697098113,0.7849409873939923,0.763711880806143,0.7979523753026743,0.6978639780089276,22.25,8,0.92,178
8,0.015,resource_rich_connected,19,0.8458967280710152,0.7923258039920787,0.763711880806143,0.8098633698157167,0.7076979044264519,22.5,8,0.92,180
8,0.015,resource_rich_connected,20,0.8546340120786104,0.798471965036462,0.763711880806143,0.8197765327905284,0.7128488670373555,22.75,8,0.92,182
8,0.015,resource_rich_connected,21,0.8648467490065019,0.8052937959121073,0.763711880806143,0.8307794858157628,0.7219618494472534,22.875,8,0.92,183
8,0.015,resource_rich_connected,22,0.8619644079354749,0.8097964737072916,0.763711880806143,0.8380418693563825,0.723552585598187,23.125,8,0.92,185
8,0.015,resource_rich_connected,23,0.8725869704849276,0.8151246592826282,0.763711880806143,0.8466357170585386,0.7299716381046089,23.25,8,0.92,186
4,0.2,resource_poor_fragmenting,24,0.6987605214430196,0.6393611147816417,0.42422316162076007,0.8724272307059302,0.7516826510979412,28.5,4,0.48,114
4,0.2,resource_poor_fragmenting,25,0.6899513939930028,0.6306773123996192,0.42422316162076007,0.8543359757433832,0.719020629100721,28.5,4,0.48,114
4,0.2,resource_poor_fragmenting,26,0.6839217167223068,0.6238572646209789,0.42422316162076007,0.8401275428712159,0.6920512619338719,28.5,4,0.48,114
4,0.2,resource_poor_fragmenting,27,0.6793248948736025,0.6185998037175829,0.42422316162076007,0.8291744993224744,0.6702459153918677,28.5,4,0.48,114
4,0.2,resource_poor_fragmenting,28,0.6752198602161205,0.6146079305320212,0.42422316162076007,0.8208580968525543,0.6541248094593985,28.5,4,0.48,114
4,0.2,resource_poor_fragmenting,29,0.6712804280167641,0.6106469541690703,0.42422316162076007,0.8126060627630731,0.6437370374704721,28.5,4,0.48,114
4,0.2,resource_poor_fragmenting,30,0.667271056151007,0.6047584675287982,0.42422316162076007,0.8003383822625064,0.633373759584651,28.5,4,0.48,114
4,0.2,resource_poor_fragmenting,31,0.6631270402254795,0.6008691456486415,0.42422316162076007,0.792235628345513,0.6216690827145269,28.5,4,0.48,114
4,0.2,resource_poor_fragmenting,32,0.6589622133961087,0.5978770818320799,0.42422316162076007,0.7860021620610097,0.6121385113332054,28.5,4,0.48,114
4,0.2,resource_poor_fragmenting,33,0.6543216810224439,0.595095584029282,0.42422316162076007,0.7802073749718472,0.604749085520979,28.5,4,0.48,114
4,0.2,resource_poor_fragmenting,34,0.6498231156356568,0.5926541076330116,0.42422316162076007,0.7751209658129509,0.5991562371269413,28.5,4,0.48,114
4,0.2,resource_poor_fragmenting,35,0.6444705349686217,0.5903403061482508,0.42422316162076007,0.7703005460530327,0.5941164655964702,28.5,4,0.48,114
4,0.2,resource_poor_fragmenting,36,0.6400404123924164,0.5885482033556597,0.42422316162076007,0.7665669985684677,0.5902408847685625,28.5,4,0.48,114
4,0.2,resource_poor_fragmenting,37,0.6351887819366455,0.586323427236743,0.42422316162076007,0.7619320483207245,0.5824603743690544,28.5,4,0.48,114
4,0.2,resource_poor_fragmenting,38,0.6311859767153616,0.5855877822325173,0.42422316162076007,0.7603994545619208,0.5795401985166471,28.5,4,0.48,114
4,0.2,resource_poor_fragmenting,39,0.6272616660013018,0.5844106928254438,0.42422316162076007,0.7579471849638513,0.5773255998309434,28.5,4,0.48,114
4,0.2,resource_poor_fragmenting,40,0.623489443712765,0.5834586752066983,0.42422316162076007,0.755963814924798,0.575548184510954,28.5,4,0.48,114
4,0.2,resource_poor_fragmenting,41,0.6202343374612447,0.5827792204255912,0.42422316162076007,0.7545482841308249,0.5758139009607285,28.5,4,0.48,114
4,0.2,resource_poor_fragmenting,42,0.617400903172449,0.5822166298990274,0.42422316162076007,0.7533762205338173,0.5777916420150933,28.5,4,0.48,114
4,0.2,resource_poor_fragmenting,43,0.6159101184351777,0.58163907971734,0.42422316162076007,0.7521729909886348,0.5805799474244666,28.5,4,0.48,114
4,0.2,resource_poor_fragmenting,44,0.6109919659871053,0.5801620784441693,0.42422316162076007,0.7490959050028627,0.5768812622656764,28.5,4,0.48,114
4,0.2,resource_poor_fragmenting,45,0.605757895234371,0.577817753696737,0.42422316162076007,0.7442118951123787,0.5692506412993638,28.5,4,0.48,114
4,0.2,resource_poor_fragmenting,46,0.6064413401121567,0.576786990521416,0.42422316162076007,0.7420644718304599,0.5626385163631312,28.5,4,0.48,114
4,0.2,resource_poor_fragmenting,47,0.6103465953437763,0.5766676313420571,0.42422316162076007,0.7418158068734622,0.55543094733292,28.5,4,0.48,114
4,0.2,resource_poor_fragmenting,48,0.6191056479186804,0.5704022413013502,0.42839932773418904,0.7242387309991081,0.5641944586719205,27.0,4,0.48,108
4,0.2,resource_poor_fragmenting,49,0.6249178185250335,0.5710991752257565,0.42839932773418904,0.7256906766749543,0.5671757693367451,27.0,4,0.48,108
4,0.2,resource_poor_fragmenting,50,0.6313491057564689,0.5724259321589125,0.42839932773418904,0.7284547536190296,0.5750365896470871,27.0,4,0.48,108
4,0.2,resource_poor_fragmenting,51,0.6354193528321692,0.5740149942537105,0.42839932773418904,0.7317652996498589,0.5837269547641637,27.0,4,0.48,108
4,0.2,resource_poor_fragmenting,52,0.6376551750514352,0.5752673453521334,0.42839932773418904,0.7343743644382399,0.5894606331981517,27.0,4,0.48,108
4,0.2,resource_poor_fragmenting,53,0.6345275974127119,0.575387803998355,0.42839932773418904,0.7346253199512013,0.5907260158030437,27.0,4,0.48,108
4,0.2,resource_poor_fragmenting,54,0.6309268078717242,0.5758368199378052,0.42839932773418904,0.7355607698250559,0.5917991296107252,27.0,4,0.48,108
4,0.2,resource_poor_fragmenting,55,0.6309535247144908,0.577434667332818,0.42839932773418904,0.738889618564666,0.5952762437129703,27.0,4,0.48,108
4,0.2,resource_poor_fragmenting,56,0.6307646732437238,0.5789453781913007,0.42839932773418904,0.7420369328531716,0.5995998428541839,27.0,4,0.48,108
4,0.2,resource_poor_fragmenting,57,0.6262132588464782,0.5789872347962406,0.42839932773418904,0.7421241341134632,0.6016308423671629,27.0,4,0.48,108
4,0.2,resource_poor_fragmenting,58,0.6256480233734225,0.5791629431796651,0.42839932773418904,0.7424901932455974,0.6046280909309458,27.0,4,0.48,108
4,0.2,resource_poor_fragmenting,59,0.6292276636715246,0.5759639183940535,0.42666213267505315,0.7377075195896371,0.6285358640701306,24.5,4,0.48,98
4,0.2,resource_poor_fragmenting,60,0.6286428654337872,0.575384135311324,0.42666213267505315,0.7364996381672841,0.6237216117588094,24.5,4,0.48,98
