-2.604817285864196794e-02,-1.796266478139977793e-02,-1.455805468768108825e-02,-3.216456557344492956e-02,2.295509254214232742e-02,8.994203639491145374e-02,2.081657426022623728e-02,-6.375983881812899989e-01
7.144157300571117586e-02,-1.114284620739119241e-02,7.112859783444190620e-02,4.654551217625383513e-02,-9.898298826187215682e-03,1.701471857662530396e-01,1.067792095790452873e-02,-3.550281667217293435e+00
-1.223565606844130918e-02,-7.344593211219468953e-03,-5.704207847584912179e-03,6.589643959395462269e-02,2.435134926932823116e-02,2.735800366566436964e-02,7.793620646607250617e-03,2.441759395515458730e-01
2.390772748931186131e-01,4.283357206318925275e-03,2.304023857116475893e-01,1.937392260753628345e-02,-5.901544705526973189e-02,5.308279584156609665e-02,-6.449782178273584521e-03,-1.917918996969714351e+00
1.606474804176300231e-01,-8.749402664686120601e-02,1.737134182395208004e-01,7.651006054177349192e-02,-8.627398112965065785e-03,2.759509723461788799e-01,2.328665461375238263e-02,-2.544805788476643293e+00
1.241578007535770467e-01,1.225512022654080477e-02,1.183539299925152333e-01,9.118237810725540737e-02,-2.062483613256298545e-02,-3.102795433382602146e-03,-8.352487195611751208e-03,-5.541975334301587619e-01
4.578627186659415260e-01,7.728586891212738119e-02,4.523067102585948129e-01,7.525115948275216959e-02,-7.167576395291547220e-02,2.380465379017153178e-03,-7.204963598009514296e-03,6.916106918376005441e-02
-9.065726431579200495e-02,5.245881242375091125e-01,-1.477093563242567187e-01,8.563631242755784592e-03,5.152126588056422929e-02,-1.884218563701482441e-01,6.483324806053974987e-02,7.929009231413279846e-01
3.152315446692605660e-01,1.222771260193722745e-02,3.212567569497665754e-01,1.693203036777381210e-02,-4.480737728348785365e-02,1.759625461237506946e-02,-1.595767839465411092e-02,-6.482600348746479779e-02
-1.177741917837338420e-01,1.425891090317847089e-02,-1.180647689676236622e-01,2.819877712258170854e-01,5.580420723049826087e-02,-3.404254149686913866e-02,1.415313238160997682e-02,1.012971581003148103e+00
1.739815094126940243e-01,-5.481639563047877375e-03,1.756125731211760632e-01,2.697723462737390276e-01,1.206846114189224009e-02,7.885833815950349032e-04,-3.018782080235249410e-02,5.396734955850938098e-01
2.940700299687304051e-02,1.792689996884191603e-02,2.716019111951341325e-02,3.059011854579136123e-03,-9.330919682655295158e-03,-1.417317845784276872e-02,1.657525740324254128e-03,-1.090683679069689160e-01
7.183196370865140012e-02,1.008704361594742194e-01,5.810178393323239820e-02,-7.468979092546515529e-04,-1.528779051389796140e-02,3.972841210703393494e-02,9.824931053298546768e-01,-2.149967030755295938e-01
-4.486027681264870108e-03,-5.530207411831907643e-03,-4.942608175022441229e-03,3.467102248866456207e-03,-1.106902463996104581e-04,-5.670054534059978391e-01,1.538498603394726450e-03,1.522709141549715706e-01
-4.961264644834262327e-02,-2.255155564361773293e-02,-4.545486298455772567e-02,-1.425887126566915096e-02,1.159910821939167877e-02,-8.825161722404488429e-02,3.609088025789072580e-03,-1.383711195179275211e-01
8.597647080395731667e-02,2.124331085148834647e-02,8.342329819900491661e-02,2.698209572679447985e-02,-1.812875983237062158e-02,-1.369683095636084202e-01,2.787772583748937202e-03,4.055820218564770707e-01
6.296544466105515048e-02,-6.679301996389728872e-03,6.310989757665698419e-02,1.339468004813627010e-02,-1.284657843964657348e-02,2.575726208339018108e-01,-1.062727888091792887e-03,-1.160588447144506180e-01
-6.695582812184246169e-02,3.918585657361381425e-02,-6.982421576177015587e-02,-2.103616909602102486e-02,1.296215123795788245e-02,-3.675638852257525069e-01,-3.662028826202134383e-03,-1.957601321545793527e-01
5.620731760861231996e-02,8.777271341075872091e-03,5.754780414392498405e-02,5.517601175024599014e-01,6.787266836996962149e-02,-3.325395810742669961e-02,-1.603468842424767005e-02,1.552645076596001594e+00
