generation,component_count,largest_component_fraction,large_cluster_count,division_like_event,mean_resource,resource_std,resource_entropy,viable_fraction,edge_density,algebraic_connectivity,maintenance_score,terminal
0,1,1.0,1,False,0.35167605574862226,0.17126987278273206,0.9668963874882116,0.875,0.4855072463768116,1.5981165854968475,0.3187821636276054,False
1,1,1.0,1,False,0.4620009528002163,0.13108442509809762,0.9872180072229787,1.0,0.47101449275362317,1.5531645142220094,0.456095659958547,False
2,1,1.0,1,False,0.5327107876437603,0.12984228297237116,0.9903234041065793,1.0,0.4384057971014493,1.4887581563063712,0.5275559606236658,False
3,1,1.0,1,False,0.5782612877878917,0.14315513780254602,0.9900436515510951,1.0,0.4166666666666667,1.4226033119892274,0.572503916912163,False
4,1,1.0,1,False,0.6144350143649745,0.1572649036966829,0.9893607607210464,1.0,0.39492753623188404,1.3658506646688855,0.6078978932257783,False
5,1,1.0,1,False,0.6300953315938829,0.16885787174483802,0.9883097547181188,1.0,0.3804347826086957,1.3145552794030197,0.6227293626165821,False
6,1,1.0,1,False,0.6376957882459453,0.17315240653758657,0.9880345839113542,1.0,0.3804347826086957,1.2664575328176082,0.6300654928016056,False
7,1,1.0,1,False,0.6377174757422425,0.17509305358546415,0.9877958987971575,1.0,0.3695652173913043,1.2248170345732925,0.6299347071294629,False
8,1,1.0,1,False,0.6362661349650854,0.17523835844414634,0.9877572185286674,1.0,0.36594202898550726,1.1883522752617746,0.6284764677170984,False
9,1,1.0,1,False,0.6349625419669398,0.17457975447356502,0.9878275183585382,1.0,0.36231884057971014,1.1543639912775006,0.6272334720818313,False
10,1,1.0,1,False,0.634350552241693,0.17409108774172083,0.9878798857774345,1.0,0.34782608695652173,1.124375609334482,0.6266621510913761,False
11,1,1.0,1,False,0.6345743674925831,0.174168383703129,0.9878665511994734,1.0,0.34057971014492755,1.0990337106328463,0.6268747918944854,False
12,1,1.0,1,False,0.6355064702782002,0.17484417994070967,0.9877846734018267,1.0,0.34057971014492755,1.078153663641584,0.6277435511884997,False
13,1,1.0,1,False,0.6369132252661757,0.17600158733402152,0.9876469306969256,1.0,0.34057971014492755,1.0603234841826243,0.6290453920544179,False
14,1,1.0,1,False,0.6385480897249299,0.17749476718956705,0.987467433987317,1.0,0.33695652173913043,1.0447909932369033,0.6305454436381795,False
15,1,1.0,1,False,0.6401904515427007,0.17918948577108884,0.9872581248290379,1.0,0.32971014492753625,1.0311861969169605,0.6320332247235018,False
16,1,1.0,1,False,0.6416521777098755,0.1809659165259988,0.9870289813072742,1.0,0.31521739130434784,1.019164346001609,0.6333292953185725,False
17,4,0.7083333333333334,2,True,0.6427608720732337,0.18269173316752993,0.9867904943655825,1.0,0.29347826086956524,1.008439897532356,0.6342703187119992,False
18,4,0.7083333333333334,2,True,0.6433831704417488,0.1841602660547815,0.9865629300939752,1.0,0.2898550724637681,0.9988622245175118,0.6347379858041631,False
